index,moneyAmount,serialNumber,leftNumber1,rightNumber1,leftNumber2,rightNumber2,leftNumber3,rightNumber3,leftNumber4,rightNumber4,leftNumber5,rightNumber5,leftNumber6,rightNumber6,leftNumber7,rightNumber7,leftNumber8,rightNumber8,leftNumber9,rightNumber9,leftNumber10,rightNumber10,leftNumber11,rightNumber11,leftNumber12,rightNumber12,leftNumber13,rightNumber13,leftNumber14,rightNumber14,leftNumber15,rightNumber15
64,100,104666254,Ecey7UI369M52ElF8wXGfcnHWQ5LPWARywX+MpgiNQg=,8lLXp6kozsEW1CqrQnOyA4xw+ReCUy2u5cwje3ObsUo=,ahzt73hFUz2DIY8ThEb0LaNiZQ3qzbEXK19GFEhhR3M=,N4btijeaOXdXPQlqPdS/KD44PcY8lP5AhcH8lxWh7yY=,YrZRzIT7MnR6qXk0MDS7GnXaresGUQzHZ0vlrAgDLPg=,kqBZg7/AHO6LrvL1Ib8q3jQtFhO8DzwTOaH3QYZoNwE=,0w01Avo1AByl9y8i0VDxFKOUFFF9tWE/VpBwH8qkN98=,G5EFAeBJuklTvh2PKLXXhY+wzZvNQhSwi+hiN3bTUDU=,NIK6PVDK5fkMx0Zb8L8yyBpjRXou+u/yVceGjDEJOvE=,uBejVeHJ47z1gmicsIewvQBVY/PcwYfjPfppivCHrgs=,q9ERsnY7xDM++9d2yMxxMLZR5NOCNuK6HcbDnPQmtXg=,KXPxnBuTCjDQQINbwh2UBILr2VNBaLWwpy95E23+Jt8=,yd1VxLtLmo56ODZd7Bp8UJCCrcGPI15bntxt7SC3hdI=,YP6t/RuenZL36OQpcpjzqhUHLG2+GIIl2M5T/68ks2M=,RqDuQJCNbc9FOB/I8a93sPmCKV3wEw3qUh+JzwN+pUQ=,WcAj50df+5SZ0VgiIs1a3JVwtaQ/huCuZoG92wlHguc=,ugQuvqQkAqoxuhNU2abRvnS3K5L1bSaiM2YQgZcfEX4=,qSzz1AN/QqVtn6FkCkLuut4FpKsKrb6r0PwaIbfQMlI=,XVm3MwJdB8kEP4ccYv+3U8LTNys5Z5NG108PPCpm6rA=,nF+jqCUvh2izr5HRkDM8xjVYBPB6QoEAwWPjgOk9FU4=,a3yc4QO8jn3CA+t8xWOCZgUgwAlqlJocHRfymb9S+0Q=,S0vEdpSe18zEk0UG2n2rGxJEstUO7b0IYi0/GscOeqk=,gerykKxYB36vAvtItCYgN6oCA2yCr/XPGGoJz8vPuBo=,nVVx1AntJvCIPf1XtBoD4jossvgibBIHczSJKmt9XF8=,DuQIvEhHAKGxGqiaZgDz1F/QN+VtzDKnHnMBFRtMDZY=,O2cBUohZmb6/yOOOFCmCwdi6/UJgCNhPX5uJbxKegDM=,/q1ZXuE/fXIZx8GI08Si2MNEVLwEML4wUg7ZEkU4txY=,GjhPvlHVHnIF7TQqlHVE3Zeamv8yCK0/ajj3D1vJdNo=,nJePMrvotG43YKG9/xkxaNMxcZyzf5kBWEPPByWaL5M=,yKuBuc/r2q/4/e0gJofM1GDyEyGUuSxGUW+0VpSaYIk=
66,100,18153554,ttrFXApBspN4UvhpQ/G+QbVqq3v3SI4KJKNFkrfvyjI=,TISTeeuJpPa7L57Xq0FxBqqR3P3XJQLOrET/5cHlRtk=,awEgdyDecEqh4DA+IBVK1ZDpJLpInxxo+RS/WTEytlM=,h2rcbKVEDcQYW9hNBe6ssRz08Hu72uwZbPuGX8UdCAI=,Qi74IlmcdhweX/wXVDLqU/93EIwTek6n0MENRuNyj3c=,6lQJn7gRno2aaL1o4mcOh1LpxmQBS1CipVKvj+YeMbU=,uWXjWi/50hHOJZ/WGM6IE7/6j2QQf/3Z+anhk/pPudU=,qRD3WMEaFpK614+8AWNmGIV2jNymX4bwEq60tSYGAUg=,tRceHErfk9SzK+oYQ63dQrHVgGMgDwIXURHXiVAConE=,crh4LmU6utyh4nxvgpN4yj3qCglBU20K0SXinRnkR+I=,CDNyjU9kQL/i5JohZ3JO4ImMx/9Agf21PombnfMKFoA=,mXSCp4DH/2L+3NFGMW6gjdEgX0TUPhjBVMKKZ/kUxak=,NKTKGk3ZjnVNaMhlg+/T8Ar8uOWbOxymCvRkBkR6UyA=,5oIoJwF/eYA1/jLje46AD/1mq71xmRmDTtf9OvPcXSc=,K5nw/38M/WkMyVfL2PnAXKt9ozjl7dQ6q008bNTMrkI=,gOyE7o5xVl2OroOm4uOWphLZ/aDUGQ8o6kuzp6K14W4=,OvkY4AqjaDS73jswa+hQuUv8JGuE+w923+sNLWaGOC0=,p9lGDSbkgg0FogC2niRzAoNV0RDHEAJUkqC4EoMbJ3o=,hD2WwnKGkg3prFcKZJ/8ZYPHYIuTKx8Sr/REvPn3Tr4=,tCxKQk/kCksv9Bi4qu+kQYIowMTpXBFc25K0o/k5QVw=,+9Qsw3LVZgt7jzHraWjG03gOgyW6PNwA6CJgwUYuTPM=,b2bQzDuaop2FGxV5WzxBC9x601zqKKfDUC/D/BT3Av4=,I2NC5oHnfr/jaoXXTfAB5iLjEBKtlbiFTWNQP/2Trh4=,ZcMkEBSXmORQ2Bc2MG9SX0V3iK+dyePIFGk7O4sGGYU=,fiUNJUkezxm60KAhSu0WP8ADUtDBthVIVgaU4yBXTOk=,pP3T+dEuP7MQUNTZj36oJDcn8eFH+DA0hELG9y61tAc=,VoIkdhjPk8cql9t0SqvDnIoXvLzKYU5ZJQdYXhGZrZg=,pdM2JxKUMe1veidIko2KCPSn+qY2Em9JKaer7GqmBFY=,8Fdz3r8kb2qksE8PfFiVUrHEi1rWhzMkzgd1QEVd4CM=,HIJz/KcRNUdkCfwnY7wSfpZSrN2BW1tO4Yz0c5n73PQ=
67,100,66031079,TGuYnXXaET4QzPRfOSfy5kTYBTt4VpWuEzkrGd2+J+M=,OhZ6jGVyViwiLFNH2oDyNkk5AkLPb2ApXgfIDyir8v0=,yNnDswXArvHUciZB8ByyO2MnacAPyYG/c5rba4reFJc=,N8+UxLOEu5FMwN1kbWa+MUOeaN5NbiLfS4tPqByG4N4=,a9O5Z0+R5khr+2O6hBxbxja35Nu5Hte2pJTtQovw1Xc=,8KNsEFnyiQlJygdw3dAezBcSWUzz90I9HJQBn1CiG04=,A7qVH0rTNIecQ9eEpLAfgeuL02dYUULcO+Hl/0JCZ4s=,XRSwxC5hHOFBC9CNTTa/nhmv7NIpHmn/yIrENY42FC0=,JkTGq5KRY+3L/LnOkcENPHH76ahgN3FhJq34BCwHPgU=,SwXp7f7uBUGXkORpRObGflUD6JNpu55Vy6xnzMUHPLo=,B5y0iqaLzv5F196jptMi5JV1wbGnP60GirJt5p9iq+4=,+7uRVpVxOsRvTaM/+0Wmu1oydnvh2eNB6t/6EUNd4uA=,kFfx5+yVzwZhR+KKN2I4mKtKd14dUPAwILt7uYwzurE=,TyV1xWqovkpA5BKTfEdiptmMYPDvfjh4CHAVakZ74aA=,zNK7+wOxgkXWXUjhdaiG86kCPRreMecWKd1/KsuhNUU=,pn3GLFYM2LN4wJjxwCxg6k2qEDRkpDz5chxH05ez0Qg=,fxTTjVin3bb7RwqI2KS5JSlNpaoXh4F2/8rVjSJjs5A=,YzCkGEfv03+FjR531JJTVfteW820kPmHN1PjrVWHL+o=,CzlTscxwuEvIIRIKKh8nPc8Byjiou+UGuaz8k1zkukk=,oG3CbSpzenfkXfbx5UbnMtkAILDEDUoGtU+L3vHdBzY=,7j1fr6UyFK0Q2X5O2LcMs+J0JdGYRFUdpfjfrtyr0gc=,qBqUT15RT407UB13wzEjP/qbA4gS+NDh45anHMHdbX8=,6CSQa2iNkLlW6L/SV7k4I+AptiOeu+Lt73aogXPKws8=,kEPpsUuadZ7+eKCie2Ok3IsbcnGTcwX/3KmZWGSDwaU=,PgHr89RBa4JG8Nf8/MwBeAAUSgaEjWQUozvHj660MB8=,wdPiT5Den+gtid1Pv8Ehqy28NyO098hN4xPSS/rfFHA=,GdZexUdJbukwKznrWqC9ghDyW70/hzeI3R893v+V6qQ=,YzSRKHnS+nYy0u2YvostCQ+AKDLe6RUb+8huPqSTt8I=,FeBbgUYf0Cp3KC90cE93LoW/1Ci1Dn+RnaJbivPKdzo=,TZPVQIoD7Us7jqjraVGZed+34bsKoHq8+Tdw2l1aPas=
68,100,50438446,dUj9SVX+s4MgLDDijavLgIo8qqNJh07Wv0FTaAd+4P4=,vX10ycgJC9Bmus5JR63Ax7D9qAnsf3uoD3Xarymx728=,6Y2+Npn6d68Nnl7RSv+Zi5npGXrNm3MECyBwTAzBsk8=,A+v8CRT3GAv05/4hEDOm4NdNtdbuXyGYVYRJTyK1rvc=,DR3wHzayVD4qqUz9wchDTG72m21/tydD/p1KTfa1VIQ=,QlZ8W9NP2fA0gZEAt+zLWwnZofAO/RCTUlWlowRbD94=,JvrEnvgZUUDyT4sO1IS8PzRdT2l1IevKr6/GvVtxQdk=,FtpH7OB04MOA4t1NYt14ZgOCeAEYWNsM9tYsFdqOwnI=,3AFn0KcP1/xrGp/Mo6x3jbG1CAJSP6euBudTVdQ6Qyk=,krGVEQll94fxaiBktp9IVTPK7SljrlbNISr1j32z9J8=,ktFwWI5pZjEGKgZ4mtso7U2afYflyMY1O9EpUex4RYQ=,JJAW2yOurxUIbE9NXvLpDwiqQ6mQrUv5yxL2g9sKeBA=,buqJKbcGWHlLaiLRFW04qziFWCHNDXeCogEDiZiq4KI=,nzjRlJIup8jlYdIzuxxn7rMqZiglZngujJeOvyDvN78=,i+JYAldZ09/WS718ER7t3T6M06dgHUJNBB3tIvhOjts=,JG03bx6ZKAdYy+AGdhzm1N19J/t+tbgGyzk7fgxpmUk=,qga9sOQchf4FOdWGJiXJMF+/t5NJ9s4E052MjaLXKJE=,KAdOMRyZeC8FMf04wQthjOad1xBf00ohnbojc332cV8=,zpxt6NFukF7FkxP9I+8zjshW2avTDOpuTyMGsgku7Fw=,wZGtezz7jg6bmIBH6VQbjfP0SIZ3tmqkcBv1dPzh+zA=,uQR7nuE501KMfh26ot5jbLOPnf6Afvd7TbupUj5yRQM=,sqgPGa1re/haQdAMq/gqQLnNFS8F9lOyXT0MlzZPuC0=,sIWJxoVYFYxR5WITA69Z4ia95VNcnXdT9wxEDSF9Jlc=,rVbHwrWf+2v0BfuVxoqbDTxKW0yfKvTcKQ7C5lGBqqA=,81NrSeBOgIg9fruAnBCtr41LVyVZqZDyqsi587zwEqE=,o+PFV2aXvoVvhEYo9XLRzllecq1UOguEz9QaGbNdXO0=,mnDWtmzycaHuQznfh7MasTxPeIQITIelPzRdwlVvNcI=,1HErGtEgKhhJlg8v8Br/kc77jy1gey+sD3GQMIbCa+k=,mUnunaRzNPaRSbRAkUdzsvG0bDaRomiyNGHDFMu/F2I=,57PrHwH3EFji/bc7R9xZy/0wLTEVt+mPjWUEXymq0dk=
69,100,74248196,Y5hRfnk1/tmNRBjbSI2qtd4O0A7CNO8zLV5hKjTJg6k=,IR9dwECo1G2B3pqvc8wj4vFiug6Nmxp4IjnvCf4JhJY=,/ipDI73BRzhXqyWaXiJgGjQT1ePE8krYTyl3gWSfqIs=,5/6nucQLGEPH6DtL4fbuj4C2z0VXPSM0bZG2EdE1BsA=,xFAHp3JWenUwsreZziWXlUZLv7/kWYnPVIaI9o1u8wM=,ptmZjEvtXJ7RIFvyrBgdYrCR0T9qyrsfrLmpcyElT38=,nF7OU6d1XGK1vYArVi9htwIY04kgYWs7/v3FHRIFgtE=,lyQp3CtjumYJozOJ2PrlYn+vm+asd7gXpIItC+zr14c=,fKQOyGDVn9KdTdQFqUXc1WiSj1NEvuQfdfAHKhF2tlU=,sbkjWb1E8RWG/4LSI5C6ADCz43svJOZJWK0VfLj3iQ8=,QATpQF0My7N64e2v3f//rN5NeAJGziDYPB552V4RHwo=,FqOKoCME2P6e2Cf0wCblPSW50W37+BS79tLKY2z3NjU=,yBFe5gpjamP/LrFTsPJ6FoEF/zryDlODr0LwA1+6les=,+bsz46PoV2pY/ITgNsYuP7AfJP5Llk3D/vmTlQzljDg=,zLk3EHt+XbC+ZxFwYTJ1BCv62Z21m7djHKQK2wo+vl4=,mtYuKF9aWgzW5Vcka3W5ywqDNxYkqXduERYJNvPJXus=,x0/w7ADKIQu2a5yJ4AhSKXrCFFa8R6/vV15eX61XZHA=,6QGsYoOApeJVDEwgI7XKqSy3xquQkji+cDgN2sEoDUQ=,dHWwm5qbAMslCGRZz3ebEmiFXCC9pCirnjchVQ/PU7A=,rkDgkgWEMHao1iXPdtPuNJMQNrvtwDXcLl7zGS2vcWg=,b+Y84A9nUAKfNvrTZDB/KDb2wQNdBZsXyp0PB2zD6IE=,lTuHfGkeJH/TLBxn4OCnogCaawYiDst/bhxeiaBSzMc=,98fw5KOOkpuMD/lrXom/J+zPloNgBNK2EnJ64Yzfgpc=,vq53t94MGtuSmx4Pqdbx5L+XIqMaD/pw+PC3VfQEVW8=,vcYMClCjJAQI2bBFTpn+MDtCad+LtPEEzXOaXHa9vcg=,UDVaX4/OMMD71Eh9OQ1rD9dY76i4l5kesgYLnXTdWXg=,dacfZKhtKciZjBE+cveUOFqC5jSBFT2LZKOrvtyZvaY=,i9TQ7Mkc5A/yHD54uRJZrB+7sC8Hu2s+dSJ1BJgxNI0=,Naf41JDr91+AXYgQF07+njsb4fmeRVhwAFzKzTbJkYg=,gCsNe8xIFAIcVRaGKlZN8VmnPdEmTiOpziO7H0VW8VU=
70,100,84108612,iX1JPJ60RwAvMJTMsNtztveVndV+NO8JfveQx0eijAA=,gjHrEFB/s+72528f4ugx6LoYTZvlwgjGCeb9wPVUZo4=,aVTDSf+6WNC6KgyOF4sMqcPz+vFwcLkEZukzzpi7wIs=,DKN2uYz6VszntG3mwFXZUZL7+Ce29QXqk0OdtAXUGrM=,L86oZHFlvGsHYMwtTDlnUiZx7wDQEENTRUWMMPYxsUc=,4iBhYDZq5LgxTiqaqv6032bNJ8aiMW71fn65qYcHiNs=,Og/AsZFyWIo0vN5NtbfA16lwpMAPJQBW/WyKS7x9yiE=,s+5/dOmwCsgF9O2mW7Ff3R4GaMpXxvcflgiBqFql89s=,bsb0dLRzHqD2avg6Hl/UEGVzMsQv/X0+VJmX55oUTOk=,U0r6en7enVPZp70uxirTVovvJ/VhjOxp51K2Dm0w/nw=,rTNZw+S15aT5Ndgel0FQTk7wYPNPI/elbFQrXItVd4g=,l8Vbo1xtIafWvEB0z4iVpJ/Ssqg5v4zuRQ2LERVMkIw=,6wqB2K6s+0hLecQ8HByvUcM2x2p7yCDqXwCQVJ+xOBg=,lv4wN1bJxhpBCZ2XJ3CkuVAQdct7FaZljnrB0k7iz9w=,kCCtSVtaUvMrGnnRVAwhw3KO07nmUyqwYkAHSYFc5vA=,mJMzFPkt4TdLvu1B4tMkdQx3aSmC8935MU+KxkrDtDQ=,FKGKUu7y55UnpTWGWvHkSnB7F5HhZHGRXTnOt6V3lGs=,YbPULijNI/oiWz9d9AXZ30XVWae1REAiw4gzYMz36mg=,hiZnMtPjwFoWYZTqWPfKK39kpPux+YkgbGz5t9zQInY=,ALgiVMFEKEA4YsHbuu7dMLH/6k4tQJ3+Kx0wVlqCNtw=,Fex0ocpv8DofXhRnVtbRqwRmr2rnmDIjDEQ7nQlHxHE=,c2HoSHzkgEi5mt+LPNcUX9WzjlewCrJLhVQuxMILed8=,S7YI1i6EEbow0SY153xTGVgCcFe/uGMSYc8gi+jcdfs=,RcX3hgEdNjAVfxpZxXP+7pW4vtpGaKf47ZHqMGMzwps=,NgQxlm2T14Lyd/R1DOoIE20JYtOehyplB/+ZU2PkrTA=,7PlPQjo2SCrn5EGX3MzYHQ9L3w1peVHnmavStD6AYEk=,CoCBReorHMjSKfa7uzpUwtd9ngRU/FMAvg0FqROzvbE=,njEdKBSdgJVsiCogKxErAGvCZlvxbUmbVEyZd7ekP9c=,LZecPqbUWi0dkMsxOP33+gcXJ6zVc9uD2956kff2Ub4=,WbYTBbe9GL0yt0anDycH9WtNQIFaM6TU0iv1ZmlF7PY=
72,100,105700007,5NFbZygce9/Na6oR9uUYZbQT5oy9dYC3+nf4S8VJJag=,Kcb58x5ijfo9FjhGDS6RJ260LOmKJYnOWMi9ydzR92c=,lrO/Jha50Vn2TPmhbB5AegtxL+fprtRU/g8oP8lZsrs=,P9Sl1NGptwuTevVx4bKBtVQxIdSnNZOzmkcIltjeASE=,mXxpa9mZsfriuQ7QXkUPnfhx7THlfoQ4Xe5dbZzVEGI=,1mLx06lGuQ8p7cJEv2pApwpmsMRWPMv3Lq1ExzKfzZU=,vMNIQH8cXOyWsk+0aK4sNgHs6TsHWeCVM6OaxhWlTAs=,WNvwtuev74KRegFjgImWAmS5B0DHfI0l7IWFwO+TpGY=,E8buSlqcxEEUoppK6NJU4dlRYspOPSUdybTIUVBCvoA=,mFyVq2Ky8+K8lzh6PNDTqVEjeU7DRgo+x42JGfpvBi4=,qY+lwgnGxPFQ19yv4jTdNeuVs+Zp5IFZOpvOs8nmQ5w=,nfTYm/jFUtVxrwOQ/JwaoaHI++/mJ8H93WeH6sp0lbk=,1SRcyk3qbg2sxPvFkHjOfgLg/LR8Lb2NYle0J4ewk5E=,wk1xlUcFMVnh0CqR1W3jhu6rQowZRpJ7q6d73r5trEI=,qyx0JGSRgt8nAmAh3cGKcOsR3tsXhYNx8FIRRv1vXKs=,JghGQMWPdHvaMVHJFQrOAZM6ioVr5tKZN5A5HAUJGLE=,6Qqrequ9HLH8cNHhi4vr7W0DQ1TTbDxRNTAE+H2Bb9E=,vtal0sV/mXLe4u3cQZe4CavN07MTjQdrjsaSPhYGlns=,j++Xp14xLmbiR7IwGiA7wCGnfr6GXE2UttKjM7lA67Q=,27YaEHAwSHV2Og3meaZT5XTqDsI98BBTP/GdTLZjxEw=,BbfJ0t5JGkZkPHMNgAyz9v61b4IjwGRmI28jimxk7Oo=,/HuK/+A9QN2FC3+5JfLYtreKYztxSAeQPah9y3xy6YU=,W+UmAaLOfN9wQfKODyXSzIkfXr7BUZuikpvRfFrKy+Y=,efIppF90G75HjbTtb13idrLeVu8eT+F7OuN2LxccXEw=,IkvQJFs7rssnP6pCWvkwOlpRq/+ucj+BoJ3i/taaf/s=,EQAQZFdICyateiXSlZSOcqVTkBZ1RwAFMBkW9oxE0xg=,dSoUCh94MgX0VKd46UnM9NaExn9/d6bM4MiM0dnZv+E=,rrUFVrzE+l1lLHOKlzjwss9G9Q5esj+RsO9wafxywFQ=,6K55WSvdJRsZbhQ2KFOzPcrkPNeyX6P038seexNtlto=,WFGaS/SD9u4s8+/Mt4x0UJ3xkiHfB0ia5annbTzDb1I=
73,100,81169254,DRkxg6U17aJY+cZCwILetvcVEb6EoPOT8eobuCKUxi8=,823L6Au32sqRxTzYteMbpp+8y53lZIdAW3wg7PUirfU=,0A91WW9TpuuUZm2JdghkGEDTjMJvQDNAOK+iywHZRdg=,ZjjVxSenvW1AotdpybpvA9oUAWYhmApYMp3iTFKyCxc=,y7jiYhKFnZo0MiCc4TNkY5ltyxwJOlmqeE6IBlX5tyc=,Iz6NL90ejvH0Di1UqEUB7USJZaoxsfgkKEO/vCWrcRM=,zc080BOkZ1a8VhjZJvPV/U63/e03MQgaOE/094YcBLc=,mhKW3wCzm90vUCylXaOaYByZ3Ng7DR3vdbXS/a0O+4g=,2ELFk0icLx/z4ACvlI5/pQhL+umwnXN2Y2tf9QkTVVY=,L5ToIBsHr0LoW4E1nrjP44G7KlYe4WyjDUNGI7C+xJQ=,e2jnjBoMSwGObSwC9Iev2J3EmMa/pDFAVadJU3hIJvY=,Fdc4i6IILZJXHjr+m9gWj2gjVPWDznWXp/Pj7SBEQU4=,Yj3FlzKZR9ZUko/XSJxmNxaMmYM+2lJvkrRXgFXyYI4=,hoO+1t5L5NqtDC5aCjfziMeTZBFpv6jNzxUINpwQhQc=,IWnz4+UAoYr26vjoanmPeyfdFuApq7H7m5PYn8oZH5w=,3nlv5UH9o2LbG9wqNMTNieEB2aXbD+6BlGvAGjaxusc=,+4NaiGI3fHrj+F7G8ruyj6ifbD0e4u7/ppCqCeds2WE=,VGXkYQ1iCaieZpD0Y3p6c5ixuCObC3v2IzXfAuR0jY4=,85AItb02VKjAlOHnBmH8e/CKHX15v+MAxXD4Rc+cFAQ=,DwmdXJDNBoscrJVckxpII//TtRnNzPBLQjLuUvsjmJI=,s26mg2m2iC44h+Mt3Qq/e8KzuTIO4YnLxhmO9r6v8CQ=,9jP6nX2IM47EolUkuo2dO8jNAo66mJkNSOTB3saMLb0=,8J/gaCN6TZCO9d5FGYItFpWMFETD5U7l+j37uMqMNw8=,IQoucU8O+PWiFK2N5Fq7TPCYq8zLT69cj4u1jfmj5Dk=,Qi1t7dX4yl2ak1O7UrIwx4WkqF3MR5TQKpPYz8wV5QA=,8bW4Mu+o6mDPTB54/caoktIFo7OXF8tI1YvgMTTkfRU=,HbLTpzw/wzZF+PlspM19wyGOQ0FF4HZMrRVCFk8ZbZA=,QwSYW82xZGgZQUJwwjkjciJxCGCsV3aVTX3elCBu77E=,dvLEsk7JOhGF2EPRic14h1oJR2TInN69P2lZtEUJQ9k=,/P1EGoLogr8Ysa1IrgJ5n7aUlUo0Uu37gapYAwYRL5s=
74,100,109981174,U7UTNtGIhzI9VZ1LwN/SOhLLy6a2acxgRqSPBDXxab4=,GqjsnKmSSGUdcc529GBBgfqQFkUq040MzKFrXOKzk1M=,GaHULOGCY3KygZMXr1NZ3sHbi83U+GKJXrxD/xGCcnU=,vLnZcN0DlKw/nyVW8q+MzV6gKu0d5/uuKeIDLbG6+pg=,dKLTkgdHDPpifnPpvIkvhvgW5u+OWRVIj+srWhJJ4xk=,YlqRGEYBrYZ+rbn1iW7kx0rBmjUBic+gU4wkG/Ej8dw=,kPeANcTfNNveQ9YrHIqugAj+x0pKV+MLtw7+xpDb0u8=,RQIuc1ZoGI7lXFWDb36ebN9T1G47OaDTNOteb/pYqo4=,mzGvvTE+6ukEu8phxSPHTsKfdLgtM/CH3c52cQ+5SRo=,EkCSrol0tLtNuaVr1bW6p6qTpuZUuY8/9bAhjdaA68c=,bJW1tAAbtXATJm5UQNbKhX2DZQjUn7ZX9cClM6dWusg=,qrp4H55WA9pzvnclaEuCSc/esj4/mgs2ofb1SUebTQk=,7zamc4vF9haz6z8q1kfDmCTXPjJyb4dYd6A4cMKB5qI=,K6OR7JoBRMWwrH8iFEjXr75uA6MBRFbminxgi3gg0lI=,Ws66HUkKodmdwetkdta8AxevSm1lj7jBBe4dXIIWXw8=,uuRoUbjyUKsRN27NhGKsd90ctvhq/4RvtgtNu9YuJIs=,e6wLGNU77JozR6+WkG7q1yKUEgTiKzScmRsyjMVEgyA=,urfZ6GIxgV47+Hx7FgCwnSraN4rRKQdYjb1O3UXdz0w=,U0cod0xMk0KxOwuxACyA8jTSbUtJN+OQUxXpt4kioZ4=,8E0GZiIb5B9i0K3I58uwuTw2UjWSbKc+SnxFcEwZVZM=,DryRsk6xzfi5gehk5d+rJrD60xh6w0XeJZxH+Nyz7GY=,2yydrBr3LrYUxV4fuqAntmwLQJvH2TAfdj/OxZxnYvQ=,5KELJyKqVvboB0HRrAt4V+s5YrwP2dEkzjtzTPh/Qi4=,UEKyS1wbTnE8gWswyHfp+6kDUGN3x4lBERXb/+AfPPU=,9wboljNdPM8jF5wGJMaN1qkMSWXSBeh5HlMnTehzXBM=,G2YOlPzgCJVRytZyrOiHg4VnHa1e/J2B7eS7vXumncY=,wP6GMsEdESqq51qvMCcxQ86/6Ax7QV20RwTPzo7mYXM=,yEA+Kds3lt5I4FTXdBg9P9MQ2OT+LVDVkMcBTHg2XWI=,H6Na4beAKnpq/jaifeAJPp28y37S2OSoMje2fpkSfyo=,Zt70PQ19bQIXzFn1ey1Nn3ZrwazVw9svvla9Fa32Mr0=
75,100,31403182,8C768h1sBBpnjXnl8z0m5vspLHGTXli51H6+47T4XdQ=,eEjrB9H6pJSWqd/I6x2xwh+U6WyBVfxqmjfTBlzmS0A=,Qiwxf969whal78ima/Lgpp8QpmQs0iyN16Y/Gd20udE=,Vn909V4GIIPiIwtvzKqiIw9+PKgZ8Fzno8asUfoVyYs=,1Tq6Q4YMHqoEHraJycnGqBzO9iTw1Fd0aXTHxTbwlF4=,omqQh2V5GvrS4Pu40xllcDmxi4ikmzvoG9tv/Ghfll4=,oPxhqt8+iW0vPVIYm2IJriz7Mxpu5I2RsfzsYdUxD00=,zj3FMYHDi369JOKdIq/m/NXan0s+1EseIGsK41/vIf8=,RfLNdg48VMN78rCNaBA9BmwBVlWsLGt2HbKHOISffw4=,tEWPAv8pYiX1xbcZbco+DoKIwkItZW49PtzDpGfdqao=,XEWQyFG4+cTqvTgA2jpgVIviZsJ4aGy+Fvt0CSFzMlI=,NNuWxvU7uBC6LjAWo4r4FyVj5DxltNy30Cly77x5oug=,POTYQAAZVahgfq5w9jjm//RyAQ7W8qNWqLmKTzsFsJE=,TYXQNlwtiEFoInTrgrMrJbcLrX95IwADSGTBGlxMHi4=,nBb2FuzSI3QRsyn8uPi9GQlvCCJxjsxIsXASil5Jxiw=,hEpuemZujZKa+LVM6T95CRKwb1d6Ei6ZPOuojjDycVI=,erm10gfDAg64mx+qLtA34pT9zfV26ZQFf3lWzHGFHmo=,F8/GrGhwCFOLAt+NUQ+NxvNrvsx3gcXLokjx3yBUVZI=,hAwVqp4rjzvBS2pTw/hBV1EvbKEvvwYuyGpgmILGFgE=,gDYJ8u7yyVy6Gg/wzP7L2zvo2vrlQX04Rbvk/j3s6Pw=,9XVc4ASH5nOYTg+H0CJAKpY5rSBVRCIVWkQ2YgEy8Ko=,tpiegn4jV6X51OrHAjy+JwdSTqu9VxVx7jTDv6CKBhw=,peVejM0D6ZWzAZwOnN+ylLJd1wwLmyR95xeGjwwhsjI=,jHNbMaPyI78c5VFn8+W64WpoZjJeW9eBC929+eIcZpU=,5LAeAcwgj9lgRi7nEgUOyLZL3iWBRkJx5C5Xw1VwGr0=,6Zit+ncrOrQAOa2tPjEKRjDRbUXKzPrNH84QdONSVQM=,dR+HPYZpuGoKiNobkUBoZl9KUQB8HQLeoPw78khHryo=,KJf/A/MuUvCXkxheAL2EgHkgcuplhkdpXZtDAeJmK+o=,o+jHI/8EA4oU/4e0BAgNs5JRyR1xcecdbY9WLDEg8Zk=,oa9AfSwjtYhaaIIg4AsdP0I8PzvwE3BVFf2AMwd7TXw=
